Generations,Best Solution,Evaluations,Best Fitness,Media,Desvio Padrao
88,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17109,"(2.03533669347609,)",2.080574542337696,0.45011091299026046
89,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17199,"(2.03533669347609,)",2.5020916494005534,2.2949183863778106
90,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17290,"(2.03533669347609,)",2.3560119984604437,2.129128113510288
91,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17386,"(2.03533669347609,)",2.8053145012853027,3.6249038328694705
92,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17478,"(2.03533669347609,)",2.5239336073580514,3.1360845964570983
93,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17573,"(2.03533669347609,)",2.2556772424439084,2.0645152664264397
94,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17665,"(2.03533669347609,)",2.123827566098783,0.7346784802853696
95,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17758,"(2.03533669347609,)",3.5028081031459544,5.8532825600293785
96,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17852,"(2.03533669347609,)",2.540277251029538,2.6964562434288344
97,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17944,"(2.03533669347609,)",2.4533137233070876,3.9952330899629778
98,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",18034,"(2.03533669347609,)",2.1031339953751083,0.674574636592475
99,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",18124,"(2.03533669347609,)",2.8228549693929734,4.984481458415317
100,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",18218,"(2.03533669347609,)",2.2792815145158256,2.1343555807067074
